Ticker,Max_Drawdown,Monthly_Hit_Rate,Upside_Capture,Downside_Capture,Down_Month_Hit_Rate,Worst_Month_Hit_Rate,Sectors,Industry Groups,Domicile Country,Workforce Size,Annual Revenue,Structure
PAYX,-0.30944415851775564,0.5,0.8809093717516838,0.8930903946344771,0.55,1.0,Industrials,Commercial & Professional Services,United States,"15,000 - 24,999 employees","$5,000,000,001 - $10,000,000,000",Public
RCL,-0.6774735075018362,0.6,1.9120953490087156,1.6952989130309495,0.5,0.6666666666666666,Consumer Discretionary,Consumer Services,United States,"Over 100,000 employees","$10,000,000,001 - $25,000,000,000",Public
ALL,-0.27344822327283813,0.4666666666666667,0.6120774599794504,0.459812827996747,0.65,0.6666666666666666,,,,,,
MRVL,-0.6188041787063792,0.5,2.6114724174977195,2.6265637788259286,0.4,0.3333333333333333,Information Technology,Semiconductors & Semiconductor Equipment,United States,"5,000 - 9,999 employees","$5,000,000,001 - $10,000,000,000",Public
JCI,-0.4232470840595261,0.5833333333333334,1.3439693258034031,1.2182911846840447,0.4,0.3333333333333333,Industrials,Capital Goods,Ireland,"Over 100,000 employees","$25,000,000,001 - $50,000,000,000",Public
HCLTECH,-0.33036207304567383,0.5833333333333334,0.45885101908355347,0.2948514312629272,0.7,1.0,Information Technology,Software & Services,India,"Over 100,000 employees","$10,000,000,001 - $25,000,000,000",Public
WDAY,-0.32840059790732307,0.55,0.9742105356187982,0.8589242908212502,0.5,0.6666666666666666,Information Technology,Software & Services,United States,"15,000 - 24,999 employees","$5,000,000,001 - $10,000,000,000",Public
GWW,-0.245038540830097,0.55,0.9819184932706627,0.8353061907463779,0.5,0.6666666666666666,Industrials,Capital Goods,United States,"25,000 - 49,999 employees","$10,000,000,001 - $25,000,000,000",Public
KMB,-0.3081122698957098,0.4166666666666667,0.1435902111230019,0.16826120794451313,0.6,0.6666666666666666,Consumer Staples,Household & Personal Products,United States,"25,000 - 49,999 employees","$10,000,000,001 - $25,000,000,000",Public
ALC,-0.31189670302118555,0.4666666666666667,0.6745024138876616,0.7134719935375874,0.6,0.6666666666666666,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Switzerland,"25,000 - 49,999 employees","$5,000,000,001 - $10,000,000,000",Public
GM,-0.5896263597666725,0.5166666666666667,1.516089594315877,1.4666255844236091,0.45,0.0,Consumer Discretionary,Automobiles & Components,United States,"Over 100,000 employees","Greater than $75,000,000,000",Public
LONN,-0.5983777065480471,0.4,0.7801779348223277,0.8470706208148363,0.4,0.3333333333333333,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Switzerland,"15,000 - 24,999 employees","$5,000,000,001 - $10,000,000,000",Public
CMI,-0.30500449016246156,0.5666666666666667,1.2376844726781138,1.1308457353895707,0.55,1.0,Consumer Discretionary,Automobiles & Components,United States,"50,000 - 100,000 employees","$25,000,000,001 - $50,000,000,000",Public
TEL,-0.34264238968444327,0.48333333333333334,1.485427162894175,1.4745474978206952,0.35,0.3333333333333333,Information Technology,Technology Hardware & Equipment,Ireland,"50,000 - 100,000 employees","$10,000,000,001 - $25,000,000,000",Public
XEL,-0.3440766550522644,0.4666666666666667,0.3443394441841949,0.2982712383971041,0.6,0.6666666666666666,Utilities,Utilities,United States,"10,000 - 14,999 employees","$10,000,000,001 - $25,000,000,000",Public
