Ticker,Max_Drawdown_Pct,Time_Underwater_Days,Recovery_Days,Monthly_Hit_Rate_Pct,Upside_Capture_Pct,Downside_Capture_Pct,Down_Month_HR_Pct,Worst_Month_HR_Pct,Sectors,Industry Groups,Domicile Country,Workforce Size,Annual Revenue,Structure,CAPM_Alpha_Ann_Pct,CAPM_Beta,Ann_Return_Pct,Ann_Volatility_Pct,Sharpe_Ratio,Sortino_Ratio,Info_Ratio,Total_Return_Pct
AFL,-19.85862239026794,260,98.0,60.0,76.38537144056966,57.67455402833191,65.0,33.33333333333333,Financials,Insurance,United States,"10,000 - 14,999 employees","$10,000,000,001 - $25,000,000,000",Public,13.773384618339326,0.7445418374659004,21.977039579684874,20.736758032875006,1.0598107739331089,1.3886585084310736,0.5938812926864584,178.54240731335605
FDX,-53.69842043003267,805,459.0,46.666666666666664,109.99739712953492,114.22089756633147,35.0,33.33333333333333,Industrials,Transportation,United States,"Over 100,000 employees","Greater than $75,000,000,000",Public,-4.004292761999167,1.1855877000529536,9.058979076092992,31.818633160244108,0.28470673238760497,0.3480319475901833,-0.07100706251512824,22.486536912182697
CPG,-17.881508078994695,227,,51.66666666666667,40.15311071649259,26.26129244960016,80.0,100.0,Consumer Discretionary,Consumer Services,United Kingdom,"Over 100,000 employees","$25,000,000,001 - $50,000,000,000",Public,10.058995926269219,0.4023524829391986,14.492273919226918,22.25901271812236,0.651074425570902,0.9120012540539838,0.15072408286774655,86.1133280127691
ADSK,-51.994039793145795,1135,,43.333333333333336,158.18485723175422,175.1755219539936,25.0,33.33333333333333,Information Technology,Software & Services,United States,"10,000 - 14,999 employees","$5,000,000,001 - $10,000,000,000",Public,-13.371072081830729,1.6777924955895855,5.115505888587543,33.74949121316789,0.15157282983251755,0.20538261680926434,-0.22186068859702662,-3.055610139516529
PAYX,-30.944415851775563,628,,50.0,88.09093717516838,89.30903946344772,55.00000000000001,100.0,Industrials,Commercial & Professional Services,United States,"15,000 - 24,999 employees","$5,000,000,001 - $10,000,000,000",Public,-1.3686529667563165,0.9250026998204367,8.823390791949869,22.34875869937884,0.3948045128875594,0.5298683430578295,-0.11836491074500849,38.63153951804201
RCL,-67.74735075018363,534,244.0,60.0,191.20953490087155,169.52989130309496,50.0,66.66666666666666,Consumer Discretionary,Consumer Services,United States,"Over 100,000 employees","$10,000,000,001 - $25,000,000,000",Public,14.91545723708931,1.9844096841105086,36.78046405229183,46.87523621035065,0.7846459458303537,1.129826252233068,0.6334671162991029,280.00000000000097
ALL,-27.344822327283815,233,99.0,46.666666666666664,61.20774599794504,45.9812827996747,65.0,66.66666666666666,Financials,Insurance,United States,"50,000 - 100,000 employees","$50,000,000,001 - $75,000,000,000",Public,10.992833792875354,0.6159338814760642,17.779435684623802,24.615395876484627,0.722289244253378,0.9613592212898392,0.28482261045046664,114.12324234904862
MRVL,-61.88041787063791,760,479.0,50.0,261.147241749772,262.65637788259284,40.0,33.33333333333333,Information Technology,Semiconductors & Semiconductor Equipment,United States,"5,000 - 9,999 employees","$5,000,000,001 - $10,000,000,000",Public,-1.062129145685378,2.6086034030417395,27.68048970080274,56.95216446446335,0.48603051281878207,0.7135950078635062,0.3351449665860344,82.23175965665226
JCI,-42.32470840595261,713,575.0,58.333333333333336,134.39693258034032,121.82911846840447,40.0,33.33333333333333,Industrials,Capital Goods,Ireland,"Over 100,000 employees","$25,000,000,001 - $50,000,000,000",Public,9.898507210624135,1.2722684584605242,23.91686175593358,27.07671333809629,0.883300031923857,1.1850761557806138,0.607730756799163,184.84776403425323
HCLTECH,-33.036207304567384,430,299.0,58.333333333333336,45.885101908355345,29.48514312629272,70.0,100.0,Information Technology,Software & Services,India,"Over 100,000 employees","$10,000,000,001 - $25,000,000,000",Public,12.83261751468753,0.37292148905930833,16.941613235232094,23.45819049467152,0.7222046064925743,1.0245700171241836,0.24246102420056004,108.23707264128926
WDAY,-32.840059790732305,711,574.0,55.00000000000001,97.42105356187982,85.89242908212502,50.0,66.66666666666666,Information Technology,Software & Services,United States,"15,000 - 24,999 employees","$5,000,000,001 - $10,000,000,000",Public,8.108025327053594,0.996655232218952,19.089564884820202,22.59458362409888,0.844873497224339,1.1000770133463216,0.4451721138583546,134.95403967102132
